,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
1870,Dawes Point,-33.8572223,151.20677560000001,Amex Lounge Vivid Sydney,-33.858647,151.210018,Lounge
1871,Dawes Point,-33.8572223,151.20677560000001,tago-an,-33.858494,151.20343,Japanese Restaurant
1872,Dawes Point,-33.8572223,151.20677560000001,Ovation of the Seas,-33.857819,151.210698,Boat or Ferry
1873,Dawes Point,-33.8572223,151.20677560000001,Lunapark Sydney,-33.85784743839572,151.2114707382985,Arcade
1874,Dawes Point,-33.8572223,151.20677560000001,The Finders Keepers Market,-33.858467,151.20195,Floating Market
1875,Dawes Point,-33.8572223,151.20677560000001,Sydney Ferry,-33.859030170546475,151.2113356590271,Boat or Ferry
1876,Dawes Point,-33.8572223,151.20677560000001,Kent Street Tennis Courts,-33.86075188359628,151.20388984680176,Tennis Court
1877,Dean Park,-33.7328296,150.852577,Subway,-33.73568497646224,150.8513644337654,Sandwich Place
1878,Dean Park,-33.7328296,150.852577,Red Rooster,-33.73606,150.85136,Fast Food Restaurant
1879,Dean Park,-33.7328296,150.852577,My Pet Warehouse,-33.736206,150.851219,Pet Store
1880,Dee Why,-33.7536635,151.2899954,Espresso Head,-33.75362551528246,151.28653287966287,Café
1881,Dee Why,-33.7536635,151.2899954,Oporto,-33.7524,151.28748,Fried Chicken Joint
1882,Dee Why,-33.7536635,151.2899954,Dee Why RSL Club,-33.74982,151.28978,General Entertainment
1883,Dee Why,-33.7536635,151.2899954,The Italian Pasta Co.,-33.75407186823104,151.28745730261258,Pizza Place
1884,Dee Why,-33.7536635,151.2899954,Woolworths,-33.75407009449953,151.2879923092894,Grocery Store
1885,Dee Why,-33.7536635,151.2899954,Sushi Train,-33.75372,151.28562,Japanese Restaurant
1886,Dee Why,-33.7536635,151.2899954,Anytime Fitness,-33.753804887752885,151.2872580916199,Gym
1887,Dee Why,-33.7536635,151.2899954,Cabana Creperie Cofee Bar,-33.75444249292565,151.28528174503563,Coffee Shop
1888,Dee Why,-33.7536635,151.2899954,Domino's Pizza,-33.754544952562966,151.28612452060221,Pizza Place
1889,Dee Why,-33.7536635,151.2899954,Coles,-33.7521297532021,151.2891399682769,Supermarket
1890,Dee Why,-33.7536635,151.2899954,AMF,-33.74983950468169,151.29008790303632,Bowling Alley
1891,Dee Why,-33.7536635,151.2899954,Walter Gors park,-33.752821,151.290448,Park
1892,Dee Why,-33.7536635,151.2899954,Liquorland,-33.75325552015595,151.2878385575685,Liquor Store
1893,Dee Why,-33.7536635,151.2899954,Woolworths Liquor,-33.75385640627633,151.2876677224962,Liquor Store
1894,Dee Why,-33.7536635,151.2899954,Hit Cafe,-33.75396229363467,151.2875366351907,Café
1895,Dee Why,-33.7536635,151.2899954,BWS Dee Why,-33.75380447155159,151.287481512522,Liquor Store
1896,Dee Why,-33.7536635,151.2899954,Royal Danish Bakery,-33.75375053262392,151.2874171647198,Bakery
1897,Dee Why,-33.7536635,151.2899954,Dee Why Grand,-33.75459058222225,151.28518584212625,Shopping Mall
1898,Dee Why,-33.7536635,151.2899954,The No.1 Noodle House,-33.753478438965324,151.28641605377197,Asian Restaurant
1899,Dee Why,-33.7536635,151.2899954,Bayfields,-33.75479922633131,151.2865003543798,Liquor Store
1900,Dee Why,-33.7536635,151.2899954,DY Seafood,-33.7539,151.28618,Fish & Chips Shop
1901,Dee Why,-33.7536635,151.2899954,Dee Why Main Bus Stop,-33.752951282059904,151.286262305897,Bus Station
1902,Dee Why,-33.7536635,151.2899954,Flame Lounge & Dining,-33.7504,151.2901,Australian Restaurant
1903,Denistone,-33.7989066,151.0887,Denistone Station,-33.79965720374318,151.08700662757877,Train Station
1904,Denistone,-33.7989066,151.0887,Mr Vitamins Original Store,-33.79680500697591,151.09033371486368,Pharmacy
1905,Denistone,-33.7989066,151.0887,Darvall Park,-33.80196371822783,151.08474879856783,Park
1906,Denistone East,-33.7962842,151.09828869999998,Mezza Via,-33.79515355048774,151.10285216154327,Pizza Place
1907,Denistone East,-33.7962842,151.09828869999998,Midway Shops,-33.79535150407018,151.1023985286412,Deli / Bodega
1908,Denistone East,-33.7962842,151.09828869999998,Coco Rice,-33.79527,151.10267,Thai Restaurant
1909,Denistone East,-33.7962842,151.09828869999998,Midway Cakes,-33.795459362524355,151.10229785344708,Café
1910,Denistone East,-33.7962842,151.09828869999998,Midway Marketplace,-33.795496,151.102443,Farmers Market
1911,Denistone East,-33.7962842,151.09828869999998,Spinnin Chickens,-33.79548312680405,151.10263602354598,Burger Joint
1912,Denistone West,-33.8005739,151.07676419999999,Skechers,-33.7968602757864,151.07791863864654,Shoe Store
1913,Dharruk,-33.7480556,150.81472219999998,Red Rooster,-33.74727115307948,150.81033117332947,Fast Food Restaurant
1914,Dharruk,-33.7480556,150.81472219999998,Dr Kuok,-33.750936,150.812106,Pharmacy
1915,Dharruk,-33.7480556,150.81472219999998,Mt Druitt Workers Club,-33.75185030751222,150.81466845105513,Bar
1916,Dolans Bay,-34.0644424,151.12822769999997,North Cronulla Surf Club,-34.06197213639761,151.1286372945408,Sports Club
1917,Dolans Bay,-34.0644424,151.12822769999997,Lilli Pilli Point,-34.066714,151.12956,Park
1918,Dolans Bay,-34.0644424,151.12822769999997,Sail & Anchor Marine Surveying,-34.0602859178856,151.12953901290894,Boat or Ferry
